,Rank,Institution,Region,Total Score
0,1,Tsinghua University,Beijing,1004.1
1,2,Peking University,Beijing,910.5
2,3,Zhejiang University,Zhejiang,822.9
3,4,Shanghai Jiao Tong University,Shanghai,778.6
4,5,Fudan University,Shanghai,712.4
5,6,Nanjing University,Jiangsu,676.2
6,7,University of Science and Technology of China,Anhui,608.6
7,8,Huazhong University of Science and Technology,Hubei,606.2
8,9,Wuhan University,Hubei,599.1
9,10,Xi'an Jiaotong University,Shaanxi,572.6
10,11,Sun Yat-Sen University,Guangdong,570.0
11,12,Sichuan University,Sichuan,546.9
12,13,Harbin Institute of Technology,Heilongjiang,544.2
13,14,Beihang University,Beijing,543.5
14,15,Southeast University,Jiangsu,532.3
15,16,Beijing Institute of Technology,Beijing,529.3
16,17,Tongji University,Shanghai,527.0
17,18,Renmin University of China,Beijing,526.3
18,19,Beijing Normal University,Beijing,523.4
19,20,Nankai University,Tianjin,490.4
20,21,Tianjin University,Tianjin,480.5
21,22,Shandong University,Shandong,472.8
22,23,Central South University,Hunan,466.1
23,24,Xiamen University,Fujian,463.2
24,25,Northwestern Polytechnical University,Shaanxi,462.0
25,26,South China University of Technology,Guangdong,444.2
26,27,Jilin University,Jilin,439.1
27,28,University of Electronic Science and Technology of China,Sichuan,437.0
28,29,Hunan University,Hunan,435.5
29,30,China Agricultural University,Beijing,432.8
30,31,East China Normal University,Shanghai,428.2
31,32,Dalian University of Technology,Liaoning,417.4
32,33,Southern University of Science and Technology,Guangdong,413.0
33,34,Chongqing University,Chongqing,397.7
34,35,University of Science and Technology Beijing,Beijing,382.8
35,36,Nanjing University of Science and Technology,Jiangsu,381.2
36,37,Nanjing University of Aeronautics and Astronautics,Jiangsu,376.6
37,38,Northeastern University,Liaoning,369.4
38,39,Xidian University,Shaanxi,363.8
39,40,Lanzhou University,Gansu,362.2
40,40,Soochow University (China),Jiangsu,362.2
41,42,Huazhong Agricultural University,Hubei,361.0
42,43,Beijing jiaotong University,Beijing,346.9
43,44,East China University of Science and Technology,Shanghai,346.1
44,45,ShanghaiTech University,Shanghai,343.3
45,46,Zhengzhou University,Henan,336.5
46,47,Central China Normal University,Hubei,334.2
47,48,Shanghai University,Shanghai,333.2
48,49,Harbin Engineering University,Heilongjiang,332.6
49,50,Jinan University,Guangdong,332.4
50,51,Nanjing Agricultural University,Jiangsu,330.7
51,52,China University of Petroleum - Beijing,Beijing,330.1
52,53,Northeast Normal University,Jilin,327.2
53,54,Wuhan University of Technology,Hubei,326.1
54,55,Southwest Jiaotong University,Sichuan,325.1
55,56,China University of Mining and Technology - Xuzhou,Jiangsu,324.0
56,57,Beijing University of Posts and Telecommunications,Beijing,323.4
57,58,Nanjing Normal University,Jiangsu,322.7
58,59,China University of Geosciences (Wuhan),Hubei,322.5
59,60,Jiangnan University,Jiangsu,321.6
60,61,Hohai University,Jiangsu,320.9
61,62,Ocean University of China,Shandong,319.8
62,63,Beijing University of Technology,Beijing,314.2
63,64,Beijing University of Chemical Technology,Beijing,309.6
64,65,Northwest University,Shaanxi,306.8
65,66,China University of Petroleum (Huadong),Shandong,304.4
66,67,Shaanxi Normal University,Shaanxi,301.7
67,68,Shenzhen University,Guangdong,301.4
68,69,Nanchang University,Jiangxi,299.5
69,70,Zhejiang University of Technology,Zhejiang,298.8
70,71,China University of Geosciences (Beijing),Beijing,296.0
71,72,Southwest University,Chongqing,294.5
72,73,Fuzhou University,Fujian,290.6
73,74,Northwest A&F University,Shaanxi,288.1
74,75,North China Electric Power University,Beijing,287.6
75,76,China University of Mining and Technology - Beijing,Beijing,284.2
76,77,Donghua University,Shanghai,284.0
77,78,Jiangsu University,Jiangsu,283.4
78,79,South China Normal University,Guangdong,281.5
79,80,Yunnan University,Yunnan,281.3
80,81,Yangzhou University,Jiangsu,279.0
81,82,Beijing Forestry University,Beijing,278.8
82,83,Hefei University of Technology,Anhui,270.4
83,84,Ningbo University,Zhejiang,270.1
84,85,Nanjing Tech University,Jiangsu,268.5
85,86,Nanjing University of Posts and Telecommunications,Jiangsu,268.2
86,87,Hunan Normal University,Hunan,263.5
87,88,Chang'an University,Shaanxi,258.5
88,89,Capital Normal University,Beijing,256.7
89,90,Nanjing University of Information Science & Technology,Jiangsu,255.5
90,91,Hangzhou Dianzi University,Zhejiang,252.8
91,92,Xiangtan University,Hunan,252.4
92,93,South China Agricultural University,Guangdong,252.3
93,94,Yanshan University,Hebei,251.8
94,95,Fujian Normal University,Fujian,250.1
95,96,Guangxi University,Guangxi,249.0
96,97,Guangzhou University,Guangdong,248.8
97,98,Henan University,Henan,248.1
98,99,Dalian Maritime University,Liaoning,246.7
99,100,Zhejiang Normal University,Zhejiang,246.4
100,101,Guangdong University of Technology,Guangdong,246.1
101,102,University of Shanghai for Science and Technology,Shanghai,243.1
102,103,Shanxi University,Shanxi,241.3
103,104,Anhui University,Anhui,240.4
104,105,Shandong Normal University,Shandong,237.7
105,106,Hebei University of Technology,Hebei,236.8
106,107,Qingdao University,Shandong,236.6
107,107,Taiyuan University of Technology,Shanxi,236.6
108,109,Guizhou University,Guizhou,235.6
109,110,Nanjing Forestry University,Jiangsu,234.5
110,111,Shanghai Normal University,Shanghai,232.8
111,111,Wuhan University of Science and Technology,Hubei,232.8
112,113,Inner Mongolia University,Inner Mongolia,231.3
113,114,Zhejiang Sci-Tech University,Zhejiang,231.1
114,115,Northeast Forestry University - China,Heilongjiang,228.7
115,116,Fujian Agriculture and Forestry University,Fujian,227.5
116,117,Xi'an University of Technology,Shaanxi,227.3
117,118,Hainan University,Hainan,226.7
118,119,Jiangxi Normal University,Jiangxi,223.8
119,120,Northeast Agricultural University - China,Heilongjiang,221.1
120,121,Changsha University of Science and Technology,Hunan,221.0
121,122,Xi'an University of Architecture and Technology,Shaanxi,220.9
122,123,Hubei University,Hubei,220.7
123,124,Kunming University of Science and Technology,Yunnan,219.8
124,125,Jiangsu Normal University,Jiangsu,213.2
125,126,Shandong University of Science and Technology,Shandong,211.4
126,127,Liaoning University,Liaoning,209.4
127,128,Southwest Petroleum University,Sichuan,209.3
128,129,Hangzhou Normal University,Zhejiang,209.1
129,130,Hebei University,Hebei,208.7
130,131,Shaanxi University of Science and Technology,Shaanxi,208.6
131,132,Anhui Normal University,Anhui,208.4
132,133,Beijing University of Civil Engineering and Architecture,Beijing,207.9
133,134,Huaqiao University,Fujian,207.1
134,135,Shantou University,Guangdong,204.6
135,136,Xinjiang University,Xinjiang,204.3
136,137,Jiangsu University of Science and Technology,Jiangsu,202.4
137,138,Shihezi University,Xinjiang,201.7
138,139,China Jiliang University,Zhejiang,201.6
139,140,Henan Agricultural University,Henan,201.3
140,141,Chongqing University of Posts and Telecommunications,Chongqing,200.9
141,142,Hubei University of Technology,Hubei,199.9
142,142,Shenyang Agricultural University,Liaoning,199.9
143,142,Sichuan Agricultural University,Sichuan,199.9
144,145,Wuhan Institute of Technology,Hubei,199.6
145,146,Shandong Agricultural University,Shandong,198.4
146,147,Changchun University of Science and Technology,Jilin,198.3
147,148,Tianjin Normal University,Tianjin,198.0
148,149,Ningxia University,Ningxia,197.2
149,150,Heilongjiang University,Heilongjiang,196.9
150,150,Hunan Agricultural University,Hunan,196.9
151,152,Changzhou University,Jiangsu,195.6
152,153,Zhejiang A&F University,Zhejiang,195.2
153,154,Hebei Normal University,Hebei,195.0
154,155,Henan Normal University,Henan,194.5
155,156,Chengdu University of Technology,Sichuan,194.3
156,157,Tiangong University,Tianjin,193.5
157,158,Wenzhou University,Zhejiang,193.4
158,159,Qilu University of Technology,Shandong,193.2
159,160,Guangxi Normal University,Guangxi,191.5
160,161,Nantong University,Jiangsu,191.3
161,162,Anhui Agricultural University,Anhui,191.1
162,163,University of Jinan,Shandong,190.8
163,164,Jilin Agricultural University,Jilin,189.2
164,165,Wuhan Textile University,Hubei,188.9
165,166,Nanchang Hangkong University,Jiangxi,187.9
166,167,Henan University of Science and Technology,Henan,187.3
167,167,Shanghai Ocean University,Shanghai,187.3
168,169,Jiangxi University of Science and Technology,Jiangxi,186.0
169,170,Qufu Normal University,Shandong,185.8
170,171,Xi'an University of Science and Technology,Shaanxi,184.9
171,172,Jimei University,Fujian,184.4
172,173,China Three Gorges University,Hubei,184.3
173,174,North China University of Technology,Beijing,182.4
174,175,Anhui University of Technology,Anhui,182.0
175,176,Yanbian University,Jilin,181.4
176,177,Northwest Normal University China,Gansu,181.1
177,178,East China Jiaotong University,Jiangxi,179.8
178,179,Henan Polytechnic University,Henan,178.8
179,180,Shanghai Maritime University,Shanghai,177.6
180,181,Liaoning Normal University,Liaoning,177.5
181,182,Qingdao University of Science and Technology,Shandong,177.3
182,183,Hebei Agricultural University,Hebei,176.5
183,183,North University of China,Shanxi,176.5
184,185,Tianjin University of Science and Technology,Tianjin,176.3
185,186,Yangtze University,Hubei,175.3
186,186,Jiangxi Agricultural University,Jiangxi,175.3
187,188,Hunan University of Science and Technology,Hunan,175.2
188,189,Yunnan Normal University,Yunnan,175.1
189,190,East China University of Technology,Jiangxi,173.6
190,191,University of South China,Hunan,173.5
191,192,Xi'an University of Posts and Telecommunications,Shaanxi,172.3
192,192,Zhejiang Ocean University,Zhejiang,172.3
193,194,Chongqing Jiaotong University,Chongqing,171.8
194,194,Shenyang University of Technology,Liaoning,171.8
195,196,Sichuan Normal University,Sichuan,171.7
196,197,Inner Mongolia Agricultural University,Inner Mongolia,171.5
197,198,Tianjin University of Technology,Tianjin,171.2
198,199,Lanzhou University of Technology,Gansu,170.9
199,199,Shanghai University of Electric Power,Shanghai,170.9
200,201,Anhui University of Science and Technology,Anhui,170.1
201,202,University of International Relations,Beijing,169.9
202,203,Shenyang Aerospace University,Liaoning,168.8
203,204,Central South University of Forestry & Technology,Hunan,168.6
204,205,Qinghai University,Qinghai,168.1
205,206,Southwest University of Science and Technology,Sichuan,167.7
206,207,Beijing Information Science & Technology University,Beijing,167.6
207,208,Shandong University of Technology,Shandong,167.3
208,209,Henan University of Technology,Henan,166.4
209,210,Beijing Electronic Science and Technology Institute,Beijing,165.7
210,211,Suzhou University of Science and Technology,Jiangsu,165.2
211,212,Northeast Petroleum University,Heilongjiang,164.5
212,213,Shanghai University of Engineering Science,Shanghai,163.6
213,214,Harbin Normal University,Heilongjiang,163.5
214,214,Qingdao University of Technology,Shandong,163.5
215,214,Yantai University,Shandong,163.5
216,217,Foshan University,Guangdong,163.4
217,218,North China University of Water Resources and Electric Power,Henan,163.3
218,219,Qingdao Agricultural University,Shandong,162.8
219,219,Shanxi Agricultural University,Shanxi,162.8
220,221,Shijiazhuang Tiedao University,Hebei,162.5
221,222,Harbin University of Science and Technology,Heilongjiang,162.4
222,223,Gansu Agricultural University,Gansu,161.6
223,224,Jiaxing University,Zhejiang,160.9
224,225,Hainan Normal University,Hainan,160.7
225,226,Huzhou University,Zhejiang,160.2
226,227,Wuhan Polytechnic University,Hubei,159.8
227,228,Chongqing University of Technology,Chongqing,159.7
228,229,Lanzhou Jiaotong University,Gansu,159.4
229,229,Ludong University,Shandong,159.4
230,231,Guilin University of Electronic Technology,Guangxi,159.2
231,232,China West Normal University,Sichuan,159.1
232,233,Beijing University of Agriculture,Beijing,158.5
233,233,Tibet University,Tibet,158.5
234,235,Dalian Polytechnic University,Liaoning,158.0
235,236,Chongqing Normal University,Chongqing,157.3
236,237,Anhui jianzhu University,Anhui,157.1
237,238,Chengdu University,Sichuan,156.9
238,239,Liaocheng University,Shandong,156.2
239,240,Chengdu University of Information Technology,Sichuan,155.5
240,241,Hebei University of Science and Technology,Hebei,154.8
241,241,Shandong Jianzhu University,Shandong,154.8
242,243,Anhui Polytechnic University,Anhui,154.1
243,244,Dongguan University of Technology,Guangdong,153.7
244,245,Xi'an Shiyou University,Shaanxi,153.5
245,246,Nanjing Institute of Technology,Jiangsu,153.2
246,247,Shenyang Jianzhu University,Liaoning,153.1
247,248,GanNan Normal University,Jiangxi,152.2
248,249,Xi'an Technological University,Shaanxi,151.9
249,249,Zhengzhou University of Light Industry,Henan,151.9
250,251,Shanxi Normal University,Shanxi,151.8
251,252,Beijing Institute of Graphic Communication,Beijing,151.5
252,253,Inner Mongolia Normal University,Inner Mongolia,151.2
253,254,Qinghai Normal University,Qinghai,150.5
254,255,Shenyang Normal University,Liaoning,150.4
255,256,Shenyang University of Chemical Technology,Liaoning,150.0
256,257,Dalian University,Liaoning,149.7
257,258,NingboTech University,Zhejiang,149.2
258,259,Shanghai Institute of Technology,Shanghai,148.6
259,260,Hefei University,Anhui,147.4
260,261,Xiamen University of Technology,Fujian,147.3
261,262,Liaoning shihua University,Liaoning,147.1
262,263,Guilin University of Technology,Guangxi,147.0
263,264,Hunan University of Technology,Hunan,146.2
264,265,Northeast Electric Power University,Jilin,145.3
265,266,Guizhou Normal University,Guizhou,145.1
266,267,Liaoning University of Technology,Liaoning,144.8
267,268,Civil Aviation University of China,Tianjin,144.7
268,269,Xinyang Normal University,Henan,143.7
269,270,Jilin Normal University,Jilin,143.4
270,271,Jianghan University,Hubei,142.7
271,272,Zhongyuan University of Technology,Henan,142.4
272,273,Linyi University,Shandong,142.3
273,274,Shaoxing University,Zhejiang,141.7
274,275,Yan'an University,Shaanxi,141.6
275,276,Beijing Union University,Beijing,140.6
276,276,Yancheng Institute of Technology,Jiangsu,140.6
277,278,Beijing Institute of Petrochemical Technology,Beijing,140.5
278,279,Liaoning Technical University,Liaoning,140.4
279,280,Zhejiang University City College,Zhejiang,140.0
280,281,North China University of Science and Technology,Hebei,139.8
281,282,Xi'an Polytechnic University,Shaanxi,139.5
282,283,Changchun University of Technology,Jilin,139.0
283,284,Jinggangshan University,Jiangxi,138.9
284,285,Xihua University,Sichuan,138.8
285,286,Shanghai Customs College,Shanghai,138.7
286,287,Hebei University of Engineering,Hebei,138.2
287,287,Heilongjiang Bayi Agricultural University,Heilongjiang,138.2
288,289,Bohai University,Liaoning,138.0
289,290,Dalian Jiaotong University,Liaoning,137.9
290,291,Anqing Normal University,Anhui,137.7
291,292,Jingdezhen Ceramic Institute,Jiangxi,137.5
292,293,Huaiyin Institute of Technology,Jiangsu,137.3
293,294,Jishou University,Hunan,137.1
294,295,Hunan Institute of Science and Technology,Hunan,136.7
